"ind.code","country","year","variable","value","ind.name","Country"
"21","Norway","2008","Share of employed",0.0888814169055224,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2008
Value: 0.09%"
"21","Norway","2009","Share of employed",0.0797046518958741,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2009
Value: 0.08%"
"21","Mongolia","2011","Share of employed",0.070185298632519,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2011
Value: 0.07%"
"21","Mongolia","2012","Share of employed",0.118340753215892,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2012
Value: 0.12%"
"21","Mongolia","2013","Share of employed",0.0964388485003954,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2013
Value: 0.1%"
"21","Mongolia","2014","Share of employed",0.143018174157152,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2014
Value: 0.14%"
"21","Mongolia","2015","Share of employed",0.101170632911041,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2015
Value: 0.1%"
"21","Mongolia","2016","Share of employed",0.095335304450067,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2016
Value: 0.1%"
"21","Mongolia","2017","Share of employed",0.0905572102887979,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2017
Value: 0.09%"
"21","Mongolia","2018","Share of employed",0.132663199158323,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2018
Value: 0.13%"
"21","Mongolia","2019","Share of employed",0.162289661875453,"Manufacture of pharmaceutical products","Mongolia
Indicator: Share of employed
Year: 2019
Value: 0.16%"
"21","Netherlands","2008","Share of employed",0.245642321661731,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2008
Value: 0.25%"
"21","Netherlands","2009","Share of employed",0.202565980483389,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2009
Value: 0.2%"
"21","Netherlands","2010","Share of employed",0.214160272591483,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2010
Value: 0.21%"
"21","Netherlands","2011","Share of employed",0.209495989682484,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2011
Value: 0.21%"
"21","Netherlands","2012","Share of employed",0.200129254187616,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2012
Value: 0.2%"
"21","Netherlands","2013","Share of employed",0.194125906516639,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2013
Value: 0.19%"
"21","Netherlands","2014","Share of employed",0.173975175338995,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2014
Value: 0.17%"
"21","Netherlands","2015","Share of employed",0.167538684462255,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2015
Value: 0.17%"
"21","Netherlands","2016","Share of employed",0.217552849240657,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2016
Value: 0.22%"
"21","Netherlands","2017","Share of employed",0.200855777421495,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2017
Value: 0.2%"
"21","Netherlands","2018","Share of employed",0.176426979933937,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2018
Value: 0.18%"
"21","Netherlands","2019","Share of employed",0.183644576621861,"Manufacture of pharmaceutical products","Netherlands
Indicator: Share of employed
Year: 2019
Value: 0.18%"
"21","Sweden","2009","Share of employed",0.191572507688237,"Manufacture of pharmaceutical products","Sweden
Indicator: Share of employed
Year: 2009
Value: 0.19%"
"21","Sweden","2010","Share of employed",0.178086911833328,"Manufacture of pharmaceutical products","Sweden
Indicator: Share of employed
Year: 2010
Value: 0.18%"
"21","Norway","2010","Share of employed",0.1017605559882,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2010
Value: 0.1%"
"21","Norway","2011","Share of employed",0.163366690028053,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2011
Value: 0.16%"
"21","Norway","2012","Share of employed",0.147158994411346,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2012
Value: 0.15%"
"21","Norway","2013","Share of employed",0.090522209364609,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2013
Value: 0.09%"
"21","Norway","2014","Share of employed",0.10170243549407,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2014
Value: 0.1%"
"21","Norway","2015","Share of employed",0.0994952764449959,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2015
Value: 0.1%"
"21","Norway","2016","Share of employed",0.103333689390627,"Manufacture of pharmaceutical products","Norway
Indicator: Share of employed
Year: 2016
Value: 0.1%"
"21","Philippines","2006","Share of employed",0.143936131777205,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2006
Value: 0.14%"
"21","Philippines","2007","Share of employed",0.154685447570556,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2007
Value: 0.15%"
"21","Philippines","2008","Share of employed",0.141549400243744,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2008
Value: 0.14%"
"21","Philippines","2009","Share of employed",0.128652058859039,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2009
Value: 0.13%"
"21","Philippines","2010","Share of employed",0.1249369929246,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2010
Value: 0.12%"
"21","Philippines","2011","Share of employed",0.131217583993531,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2011
Value: 0.13%"
"21","Philippines","2012","Share of employed",0.0820721667730216,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2012
Value: 0.08%"
"21","Philippines","2013","Share of employed",0.079740353580122,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2013
Value: 0.08%"
"21","Philippines","2014","Share of employed",0.0789847162183919,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2014
Value: 0.08%"
"21","Philippines","2015","Share of employed",0.0762684465992754,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2015
Value: 0.08%"
"21","Philippines","2016","Share of employed",0.0706661688124927,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2016
Value: 0.07%"
"21","Philippines","2017","Share of employed",0.0750681963250074,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2017
Value: 0.08%"
"21","Philippines","2018","Share of employed",0.0956079037810924,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2018
Value: 0.1%"
"21","Philippines","2019","Share of employed",0.0709004427884308,"Manufacture of pharmaceutical products","Philippines
Indicator: Share of employed
Year: 2019
Value: 0.07%"
"21","Poland","2008","Share of employed",0.185140783585032,"Manufacture of pharmaceutical products","Poland
Indicator: Share of employed
Year: 2008
Value: 0.19%"
"21","Poland","2009","Share of employed",0.215427075448827,"Manufacture of pharmaceutical products","Poland
Indicator: Share of employed
Year: 2009
Value: 0.22%"
"21","Poland","2010","Share of employed",0.212843721832751,"Manufacture of pharmaceutical products","Poland
Indicator: Share of employed
Year: 2010
Value: 0.21%"
"21","Poland","2011","Share of employed",0.253770533042524,"Manufacture of pharmaceutical products","Poland
Indicator: Share of employed
Year: 2011
Value: 0.25%"
"21","Poland","2012","Share of employed",0.279754275281168,"Manufacture of pharmaceutical products","Poland
Indicator: Share of employed
Year: 2012
Value: 0.28%"
"21","Poland","2013","Share of employed",0.243788495483366,"Manufacture of pharmaceutical products","Poland
Indicator: Share of employed
Year: 2013
Value: 0.24%"
"21","Poland","2014","Share of employed",0.245693185192564,"Manufacture of pharmaceutical products","Poland
Indicator: Share of employed
Year: 2014
Value: 0.25%"
